|Name(OpenSSL) |NIST Name |Cipher Suite|FIPS 140-2 |Supported in | OID |
|AES256-GCM-SHA384 |TLS_RSA_WITH_AES_256_GCM_SHA384 |{0x009D} | Yes |TLS 1.2 | 1.3.6.1.4.1.11.2.4.3.20.74 | 
|AES256-SHA256 |TLS-RSA-WITH-AES-256-CBC-SHA256 |{0x003D} | Yes |TLS 1.0/TLS 1.1/TLS 1.2| 1.3.6.1.4.1.11.2.4.3.20.74 |
|AES256-SHA |TLS-RSA-WITH-AES-256-CBC-SHA |{0x0035} | Yes |TLS 1.0/TLS 1.1/TLS 1.2| 1.3.6.1.4.1.11.2.4.3.20.74 |
|DES-CBC3-SHA |TLS-RSA-WITH-3DES-EDE-CBC-SHA |{0x000A} | Yes |TLS 1.0/TLS 1.1/TLS 1.2| 1.3.6.1.4.1.11.2.4.3.20.74 |
|AES128-GCM-SHA256 |TLS_RSA_WITH_AES_128_GCM_SHA256 |{0x009C} | Yes |TLS 1.2 | 1.3.6.1.4.1.11.2.4.3.20.74 |
|AES128-SHA256 |TLS-RSA-WITH-AES-128-CBC-SHA256 |{0x003C} | Yes |TLS 1.0/TLS 1.1/TLS 1.2| 1.3.6.1.4.1.11.2.4.3.20.74 |
|AES128-SHA |TLS-RSA-WITH-AES-128-CBC-SHA |{0x002F} | Yes |TLS 1.0/TLS 1.1/TLS 1.2| 1.3.6.1.4.1.11.2.4.3.20.74 |
|RC4-SHA |TLS-RSA-WITH-RC4-128-SHA |{0x0005} | No |TLS 1.0/TLS 1.1/TLS 1.2| 1.3.6.1.4.1.11.2.4.3.20.74 |
|RC4-MD5 |TLS-RSA-WITH-RC4-128-MD5 |{0x0004} | No |TLS 1.0/TLS 1.1/TLS 1.2| 1.3.6.1.4.1.11.2.4.3.20.74 |
